Kalenderwoche,Inzidenz_sum,year,week,time
2016-W32,7569,2016,32,0
2016-W33,7360,2016,33,1
2016-W34,7448,2016,34,2
2016-W35,7929,2016,35,3
2016-W36,12870,2016,36,4
2016-W37,11226,2016,37,5
2016-W38,17384,2016,38,6
2016-W39,12269,2016,39,7
2016-W40,11105,2016,40,8
2016-W41,18211,2016,41,9
2016-W42,13373,2016,42,10
2016-W43,13607,2016,43,11
2016-W44,16782,2016,44,12
2016-W45,22387,2016,45,13
2016-W46,19451,2016,46,14
2016-W47,21073,2016,47,15
2016-W48,16650,2016,48,16
2016-W49,22935,2016,49,17
2016-W50,30911,2016,50,18
2016-W51,25469,2016,51,19
2016-W52,12665,2016,52,20
2017-W01,15301,2017,1,21
2017-W02,30934,2017,2,22
2017-W03,32623,2017,3,23
2017-W04,37503,2017,4,24
2017-W05,53988,2017,5,25
2017-W06,39112,2017,6,26
2017-W07,28881,2017,7,27
2017-W08,16889,2017,8,28
2017-W09,17333,2017,9,29
2017-W10,18032,2017,10,30
2017-W11,19157,2017,11,31
2017-W12,18516,2017,12,32
2017-W13,12717,2017,13,33
2017-W14,13583,2017,14,34
2017-W15,7671,2017,15,35
2017-W16,9550,2017,16,36
2017-W17,12488,2017,17,37
2017-W18,14613,2017,18,38
2017-W19,13874,2017,19,39
2017-W20,12236,2017,20,40
2017-W21,9864,2017,21,41
2017-W22,4367,2017,22,42
2017-W23,6101,2017,23,43
2017-W24,9933,2017,24,44
2017-W25,8345,2017,25,45
2017-W26,5988,2017,26,46
2017-W27,9840,2017,27,47
2017-W28,8850,2017,28,48
2017-W29,11652,2017,29,49
2017-W30,9963,2017,30,50
2017-W31,4593,2017,31,51
2017-W32,6853,2017,32,52
2017-W33,5924,2017,33,53
2017-W34,11459,2017,34,54
2017-W35,7871,2017,35,55
2017-W36,11682,2017,36,56
2017-W37,19898,2017,37,57
2017-W38,18914,2017,38,58
2017-W39,14475,2017,39,59
2017-W40,18579,2017,40,60
2017-W41,10889,2017,41,61
2017-W42,11962,2017,42,62
2017-W43,15100,2017,43,63
2017-W44,11433,2017,44,64
2017-W45,13243,2017,45,65
2017-W46,17018,2017,46,66
2017-W47,12925,2017,47,67
2017-W48,20046,2017,48,68
2017-W49,17798,2017,49,69
2017-W50,24081,2017,50,70
2017-W51,17919,2017,51,71
2017-W52,14219,2017,52,72
2018-W01,13548,2018,1,73
2018-W02,24307,2018,2,74
2018-W03,31233,2018,3,75
2018-W04,31848,2018,4,76
2018-W05,34238,2018,5,77
2018-W06,40808,2018,6,78
2018-W07,41184,2018,7,79
2018-W08,44809,2018,8,80
2018-W09,37513,2018,9,81
2018-W10,36858,2018,10,82
2018-W11,28980,2018,11,83
2018-W12,19068,2018,12,84
2018-W13,16093,2018,13,85
2018-W14,10062,2018,14,86
2018-W15,14995,2018,15,87
2018-W16,9230,2018,16,88
2018-W17,8680,2018,17,89
2018-W18,15033,2018,18,90
2018-W19,11481,2018,19,91
2018-W20,11054,2018,20,92
2018-W21,7893,2018,21,93
2018-W22,9988,2018,22,94
2018-W23,7816,2018,23,95
2018-W24,10905,2018,24,96
2018-W25,11196,2018,25,97
2018-W26,9482,2018,26,98
2018-W27,8964,2018,27,99
2018-W28,7467,2018,28,100
2018-W29,4745,2018,29,101
2018-W30,3553,2018,30,102
2018-W31,4290,2018,31,103
2018-W32,3280,2018,32,104
2018-W33,4429,2018,33,105
2018-W34,3750,2018,34,106
2018-W35,8363,2018,35,107
2018-W36,11858,2018,36,108
2018-W37,11873,2018,37,109
2018-W38,14909,2018,38,110
2018-W39,10058,2018,39,111
2018-W40,9037,2018,40,112
2018-W41,9093,2018,41,113
2018-W42,11027,2018,42,114
2018-W43,12398,2018,43,115
2018-W44,11693,2018,44,116
2018-W45,14734,2018,45,117
2018-W46,16364,2018,46,118
2018-W47,26557,2018,47,119
2018-W48,16164,2018,48,120
2018-W49,23046,2018,49,121
2018-W50,23683,2018,50,122
2018-W51,21558,2018,51,123
2018-W52,15638,2018,52,124
2019-W01,9273,2019,1,125
2019-W02,17119,2019,2,126
2019-W03,23189,2019,3,127
2019-W04,34084,2019,4,128
2019-W05,32151,2019,5,129
2019-W06,34380,2019,6,130
2019-W07,31309,2019,7,131
2019-W08,22437,2019,8,132
2019-W09,22199,2019,9,133
2019-W10,21201,2019,10,134
2019-W11,21563,2019,11,135
2019-W12,19185,2019,12,136
2019-W13,16854,2019,13,137
2019-W14,14439,2019,14,138
2019-W15,17457,2019,15,139
2019-W16,12986,2019,16,140
2019-W17,6829,2019,17,141
2019-W18,9722,2019,18,142
2019-W19,12688,2019,19,143
2019-W20,15816,2019,20,144
2019-W21,9734,2019,21,145
2019-W22,9888,2019,22,146
2019-W23,8304,2019,23,147
2019-W24,9336,2019,24,148
2019-W25,10129,2019,25,149
2019-W26,5567,2019,26,150
2019-W27,9247,2019,27,151
2019-W28,9225,2019,28,152
2019-W29,8733,2019,29,153
2019-W30,5787,2019,30,154
2019-W31,3798,2019,31,155
