,Date,new_cases
0,0,0
1,7,2
2,14,1
3,21,2
4,28,2
5,35,3
6,42,1
7,49,7
8,56,1
9,63,9
10,70,12
11,77,22
12,84,15
13,91,30
14,98,31
15,105,30
16,112,17
17,119,15
18,126,7
19,133,9
20,140,12
21,147,31
22,154,38
23,161,28
24,168,38
25,175,24
26,182,30
27,189,6
28,196,16
29,203,6
30,210,35
31,217,14
32,224,22
33,231,40
34,238,86
35,245,100
36,252,107
37,259,86
38,266,79
39,273,127
40,280,113
41,287,143
42,294,113
43,301,85
44,308,109
45,315,180
46,322,93
47,329,164
48,336,96
49,343,123
50,350,95
51,357,182
52,364,117
